Symbol,Disabled
AARTIIND,Y
ABB,Y
ABBOTINDIA,Y
ABCAPITAL,Y
ABFRL,Y
ACC,Y
ADANIENT,Y
ADANIPORTS,Y
ALKEM,Y
AMARAJABAT,Y
AMBUJACEM,Y
APOLLOHOSP,Y
APOLLOTYRE,Y
ASHOKLEY,Y
ASIANPAINT,Y
ASTRAL,Y
ATUL,Y
AUBANK,Y
AUROPHARMA,Y
AXISBANK,Y
BAJAJ-AUTO,Y
BAJAJFINSV,Y
BAJFINANCE,Y
BALKRISIND,Y
BALRAMCHIN,Y
BANDHANBNK,Y
BANKBARODA,Y
BATAINDIA,Y
BEL,Y
BERGEPAINT,Y
BHARATFORG,Y
BHARTIARTL,Y
BHEL,Y
BIOCON,Y
BOSCHLTD,Y
BPCL,Y
BRITANNIA,Y
BSOFT,Y
CANBK,Y
CANFINHOME,Y
CHAMBLFERT,Y
CHOLAFIN,Y
CIPLA,Y
COALINDIA,Y
COFORGE,Y
COLPAL,Y
CONCOR,Y
COROMANDEL,Y
CROMPTON,Y
CUB,Y
CUMMINSIND,Y
DABUR,Y
DALBHARAT,Y
DEEPAKNTR,Y
DELTACORP,Y
DIVISLAB,Y
DIXON,Y
DLF,Y
DRREDDY,Y
EICHERMOT,Y
ESCORTS,Y
EXIDEIND,Y
FEDERALBNK,Y
FSL,Y
GAIL,Y
GLENMARK,Y
GNFC,Y
GODREJCP,Y
GODREJPROP,Y
GRANULES,Y
GRASIM,Y
GUJGASLTD,Y
HAL,Y
HAVELLS,Y
HCLTECH,Y
HDFC,Y
HDFCAMC,
HDFCBANK,
HDFCLIFE,
HINDALCO,Y
HINDCOPPER,Y
HINDPETRO,Y
HINDUNILVR,Y
HONAUT,Y
IBULHSGFIN,Y
ICICIBANK,Y
ICICIGI,Y
ICICIPRULI,Y
IDFC,Y
IDFCFIRSTB,Y
IEX,Y
IGL,Y
INDHOTEL,Y
INDIACEM,Y
INDIAMART,Y
INDIGO,Y
INDUSINDBK,Y
INDUSTOWER,Y
INFY,Y
INTELLECT,Y
IOC,Y
IPCALAB,Y
IRCTC,Y
ITC,Y
JINDALSTEL,Y
JKCEMENT,Y
JSWSTEEL,Y
JUBLFOOD,Y
KOTAKBANK,Y
L&TFH,Y
LALPATHLAB,Y
LAURUSLABS,Y
LICHSGFIN,Y
LT,Y
LTIM,Y
LTTS,Y
LUPIN,Y
M&M,Y
M&MFIN,Y
MANAPPURAM,Y
MARICO,Y
MARUTI,Y
MCDOWELL-N,Y
MCX,Y
METROPOLIS,Y
MFSL,Y
MGL,Y
MOTHERSON,Y
MPHASIS,Y
MRF,
MUTHOOTFIN,Y
NATIONALUM,Y
NAUKRI,Y
NAVINFLUOR,Y
NESTLEIND,Y
NMDC,Y
NTPC,Y
OBEROIRLTY,Y
OFSS,Y
ONGC,Y
PAGEIND,Y
PEL,Y
PERSISTENT,Y
PETRONET,Y
PFC,Y
PIDILITIND,Y
PIIND,Y
PNB,Y
POLYCAB,Y
POWERGRID,Y
PVRINOX,Y
RAIN,Y
RAMCOCEM,Y
RBLBANK,Y
RECLTD,Y
RELIANCE,Y
SAIL,Y
SBICARD,Y
SBILIFE,Y
SBIN,Y
SHREECEM,Y
SHRIRAMFIN,Y
SIEMENS,Y
SRF,Y
SUNPHARMA,Y
SUNTV,Y
SYNGENE,Y
TATACHEM,Y
TATACOMM,Y
TATACONSUM,Y
TATAMOTORS,Y
TATAPOWER,Y
TATASTEEL,Y
TCS,Y
TECHM,Y
TITAN,Y
TORNTPHARM,Y
TORNTPOWER,Y
TRENT,Y
TVSMOTOR,Y
UBL,Y
ULTRACEMCO,Y
UPL,Y
VEDL,Y
VOLTAS,Y
WHIRLPOOL,Y
WIPRO,Y
ZEEL,Y
ZYDUSLIFE,Y
FORTIS,Y
GLAND,Y
HINDZINC,Y
IDFCFIRSTB,Y
INDIANB,Y
IRFC,
PRESTIGE,
UNIONBANK,
VBL,
SONACOMS,
